"MovieID","UserID","Rating", "RatingDate"
1,1,1,2001-03-05
1,2,5,2001-03-05
1,3,1,2001-03-05
1,4,1,2001-03-05
1,5,4,2001-03-05
2,1,2,2001-03-05
2,2,4,2001-03-05
2,3,5,2001-03-05
2,5,2,2001-03-05
3,1,3,2001-03-05
3,2,3,2001-03-05
3,3,1,2001-03-05
4,1,4,2001-03-05
4,2,2,2001-03-05
4,3,5,2001-03-05
4,4,5,2001-03-05
5,1,5,2001-03-05
5,2,1,2001-03-05
5,3,1,2001-03-05
6,1,1,2001-03-05
6,2,5,2001-03-05
7,1,2,2001-03-05
7,2,4,2001-03-05
8,1,3,2001-03-05
8,2,3,2001-03-05
9,1,4,2001-03-05
9,2,2,2001-03-05
10,1,5,2001-03-05
10,2,1,2001-03-05
3,6,1,2001-03-05
4,6,4,2001-03-05
